id,style_id,related_style_id,relation_type
1,1,46,1
2,1,30,1
3,1,2,1
4,1,16,1
5,2,61,1
6,2,67,1
7,2,76,1
8,2,54,1
9,2,29,1
10,2,1,1
11,2,30,1
12,2,61,2
13,3,78,1
14,3,81,1
15,3,61,1
16,3,46,1
17,3,48,1
18,3,78,2
19,3,61,2
20,4,64,1
21,4,41,1
22,4,22,1
23,4,65,1
24,4,70,1
25,4,64,2
26,4,41,2
27,4,50,2
28,5,58,1
29,5,77,1
30,5,41,1
31,5,22,1
32,5,65,1
33,5,58,2
34,6,74,1
35,6,7,1
36,6,8,1
37,6,40,1
38,7,74,1
39,7,6,1
40,7,65,1
41,7,74,2
42,8,61,1
43,8,69,1
44,8,6,1
45,8,10,1
46,8,61,2
47,9,37,1
48,9,81,1
49,9,72,1
50,9,78,1
51,9,72,2
52,9,78,2
53,10,30,1
54,10,61,1
55,10,55,1
56,10,8,1
57,10,61,2
58,10,30,3
59,11,69,1
60,11,13,1
61,11,25,1
62,11,58,1
63,12,43,1
64,12,64,1
65,12,73,1
66,12,70,1
67,12,68,1
68,12,43,2
69,13,22,1
70,13,28,1
71,13,53,1
72,13,79,1
73,13,26,1
74,13,11,1
75,13,50,2
76,13,22,3
77,13,28,3
78,13,53,3
79,13,79,3
80,14,49,1
81,14,58,1
82,14,5,1
83,15,43,1
84,15,39,1
85,15,18,1
86,15,71,1
87,15,43,2
88,16,1,1
89,16,46,1
90,16,2,1
91,16,19,1
92,17,37,1
93,17,9,1
94,17,34,1
95,17,72,1
96,17,72,2
97,17,9,2
98,18,43,1
99,18,15,1
100,18,50,1
101,18,63,1
102,18,39,1
103,18,43,2
104,18,50,2
105,19,46,1
106,19,1,1
107,19,45,1
108,19,45,3
109,20,76,1
110,20,54,1
111,20,2,1
112,20,21,1
113,20,63,1
114,20,50,2
115,20,63,2
116,21,26,1
117,21,70,1
118,21,42,1
119,21,20,1
120,21,13,1
121,21,50,2
122,22,13,1
123,22,28,1
124,22,5,1
125,22,77,1
126,22,65,1
127,22,4,1
128,22,13,2
129,22,28,3
130,23,40,1
131,23,36,1
132,23,76,1
133,23,54,1
134,23,40,2
135,23,63,2
136,23,50,2
137,24,43,1
138,24,39,1
139,24,43,2
140,25,74,1
141,25,65,1
142,25,6,1
143,25,58,1
144,25,29,1
145,25,59,1
