id,slug,name,abv_max,abv_min,aroma,bitterness,body,description,history,ibu_max,ibu_min,origin,serving_temp_max,serving_temp_min,sourness,srm_max,srm_min,sweetness
1,altbier,アルトビア,5.5,4.3,3,3,3,ドイツのデュッセルドルフ地方発祥の伝統的なビール。上面発酵ながら低温熟成させる独特の製法で、琥珀色の色合いとバランスの取れた味わいが特徴。モルトの複雑さとホップのバランスが絶妙な伝統的ドイツビールです。,"ドイツ西部の都市デュッセルドルフ（Düsseldorf）及びその周辺地域で伝統的に造られている上面発酵ビール。「アルト」はドイツ語で「古い (Alt)」を意味し、19世紀以降に主流となった下面発酵のラガー（新しい製法）に対して、それ以前から続く「古い」製法（上面発酵）で作られることに由来します。
ケルシュと同様に、上面発酵酵母を使いながらも、発酵後に低温で熟成させる工程（ラガーリング）を経るのが特徴です。これにより、エールらしい豊かな風味と、ラガーのようなクリーンで滑らかな飲み口を両立させています。
色は銅色から濃い茶色で、麦芽由来のしっかりとした風味（穀物、ビスケット、時にはナッツや軽いロースト感）と、ケルシュよりも明確に感じられるホップの苦味、そしてドイツ産ノーブルホップ由来の穏やかな香りのバランスが取れています。
デュッセルドルフの郷土ビールとして、現在も地元で深く愛されています。",50,25,中世からの進化、ドイツ・デュッセルドルフ,10,7,1,17,11,2
2,amber-ale,アンバーエール,6.2,4.5,3,3,3,琥珀色の外観が特徴的なエールビール。モルトの甘みとキャラメル風味にほどよいホップのバランスがあり、飲みやすさと風味のバランスが取れているスタイルです。,"琥珀色（Amber）が特徴のエール。特に「アメリカン・アンバーエール」は、20世紀後半（1980年代頃）のアメリカのクラフトビール運動の中で生まれたスタイルです。
当時のブルワーたちが、アメリカン・ペールエール（APA）よりも麦芽（モルト）の風味や色合いが豊かで、かつアメリカン・ブラウンエールほどは重くない、バランスの取れた新しいスタイルを求めて開発しました。
特徴は、カラメルモルトなどを使用することによる中程度のボディと、トーストやカラメルのような甘く香ばしいモルトの風味です。これにアメリカ産ホップ由来の柑橘系やフローラル系の香りと、しっかりとした苦味がバランス良く加わります。APAやIPAに比べてモルトの存在感が強く、より複雑な味わいを楽しめるスタイルとして定着しました。
イギリスにもアンバー色のエールは存在しますが、通常「アンバーエール」と言うとアメリカンスタイルを指すことが多いです。",40,25,主に20世紀後半（1980年代頃）、アメリカ,12,8,1,17,10,3
3,american-wheat,アメリカンウィート,5.5,4,3,2,2,アメリカで人気の小麦ビールスタイル。ドイツやベルギーの小麦ビールに比べて酵母由来の個性が控えめで、よりクリーンな味わいが特徴。軽やかな飲み口とほのかな柑橘系のホップの風味が楽しめる爽やかなビールです。,"アメリカのクラフトブルワーが、ドイツやベルギーのスタイルとは異なる独自のアメリカン小麦ビールとして開発（1980年代～）。
小麦麦芽を多く（30-50%）使いますが、特徴的なのは酵母です。ドイツ酵母のようなバナナ・クローブ香を出すものではなく、よりクリーンなアメリカンエール酵母（やラガー酵母）を使用します。スパイスも通常使いません。
結果として酵母香は控えめで、すっきりした飲み口。代わりにアメリカ産ホップの香り（柑橘・フローラル等）や苦味が比較的強調される傾向があります。
濾過・無濾過の両タイプが存在し、爽やかで飲みやすい定番スタイルです。",30,15,1980年代～、アメリカ,7,4,1,6,3,2
4,baltic-porter,バルチックポーター,9.5,6.5,4,2,5,バルト海周辺諸国で発展したポーター。伝統的な英国ポーターよりもアルコール度数が高く、ラガー酵母で低温発酵・熟成させることが多い。濃厚で滑らか、複雑な味わい。,"18世紀英国ポーターがバルト海周辺国（ロシア、ポーランド、北欧等）へ輸出され、現地で独自進化したスタイル。
寒冷気候や輸送、またインペリアルスタウトの影響を受け、英国ポーターより高アルコール（6.5-9.5%）で濃厚リッチに。
最大の特徴は、多くがエール酵母でなくラガー酵母を使い、低温発酵・熟成（ラガーリング）させる点。これによりエール臭が抑えられ、滑らかでクリーンな飲み口に。
味はダークフルーツ、カラメル、トフィー、チョコ、リコリス等の複雑な麦芽風味があり、ロースト感は控えめ、甘みが感じられることが多い。",40,20,18世紀後半～19世紀、バルト海周辺諸国（英国ポーターが起源）,12,8,1,30,17,4
5,barley-wine,バーレイワイン,12,8,4,4,5,非常に高いアルコール度数を持つ強いエールビール。リッチなモルトの甘みと複雑な風味があり、熟成によって風味が変化していく奥深いスタイルです。イングリッシュとアメリカンの2つの主要なタイプがあります。,"イギリス発祥とされる、非常にアルコール度数が高い（多くは8～12%以上）上面発酵のエール。「バーレイ（大麦）のワイン」という名前は、ワインに匹敵するほどのアルコール度数を持ちながら、ブドウではなく大麦麦芽のみから造られることに由来します。
その起源は18世紀頃の、長期熟成させるための高アルコールビール（オクトーバービールやストックエールなど）に遡ると考えられています。バス醸造所の「No.1 Ale」などが初期の商業的な例として挙げられます。
伝統的なイングリッシュ・バーレイワインは、琥珀色から濃い茶色で、麦芽由来の濃厚で複雑な風味（トフィー、カラメル、ドライフルーツ、糖蜜など）が支配的です。ホップの苦味はモルトの甘さを支える程度で、熟成によってシェリー酒のような酸化熟成香が現れることもあります。
一方、アメリカン・バーレイワインは、より色が淡く、大量のアメリカンホップによる強い苦味と華やかな香りが特徴となっています。",100,35,18世紀/19世紀頃、イギリス,14,10,1,22,8,4
6,belgian-blonde-ale,ベルジャン・ブロンドエール,7.5,6,4,2,3,ベルギーのモダンなブロンドビール。黄金色の外観と、フルーティーでスパイシーなベルギー酵母の風味が特徴。マイルドな味わいでありながら複雑さを併せ持つスタイルです。,"ベルギー発祥の、黄金色（Blond）をした上面発酵エールです。
デュッベルやトリペルといった他のベルギーの伝統的なスタイルに比べると、その歴史は比較的新しく、第二次世界大戦後にヨーロッパでピルスナーなどの淡色ラガーの人気が高まったことを受けて、ベルギーの醸造家たちが対抗する形で開発したと言われています。
彼らは、ラガーのような親しみやすい色合いでありながら、ベルギー酵母由来の複雑な風味を持つ、よりアルコール度数の高いエールを目指しました。
特徴は、輝く金色、中程度のアルコール度数（多くは6～7.5%程度）、ベルギー酵母が生み出す穏やかなフルーティーさ（洋梨やリンゴのようなエステル香）と、ほのかなスパイシーさ（フェノール香）。麦芽の優しい甘みとドライな後味のバランスが取れており、比較的飲みやすいスタイルです。レフ・ブロンドなどが広く知られています。",30,15,20世紀半ば、ベルギー,10,6,1,7,4,3
7,belgian-golden-strong-ale,ベルジャン・ゴールデンストロングエール,10.5,7.5,4,2,2,ベルギーの強い黄金色のエール。トリペルに似るが、よりドライでホップの苦味が効き、炭酸が強い。悪魔的な飲みやすさを持つことも。,"WW2後、ベルギーでピルスナー人気に対抗して生まれたとされる高アルコール（7.5-10.5%）淡色（ゴールデン）上面発酵エール。
トリペルに似るが、一般的にこちらの方がより淡い麦芽（ピルスナーモルト主体）でボディ軽く、フィニッシュはよりドライ、ホップ苦味/香り（ノーブルホップ等）がやや強調され、炭酸圧も非常に高い傾向。
ベルギー酵母由来のフルーティー（洋梨、リンゴ、柑橘等）で複雑な香りを持ち、高アルコールを隠す滑らかさとドライさから「悪魔(Duvel)のよう」とも。デュベル社の「デュベル」が象徴的銘柄。",35,22,20世紀半ば、ベルギー,10,6,1,6,3,1
8,belgian-pale-ale,ベルジャン・ペールエール,5.5,4.8,3,2,3,イギリスのペールエールに影響を受けつつ、ベルギー酵母で醸造されたエール。中程度の苦味と、酵母由来のフルーティー＆スパイシーな香りが特徴。比較的飲みやすい。,"第一次・二次大戦後、ベルギーで人気の英国ペールエール等を参考に、ベルギー醸造家が自国の上面発酵酵母（ベルギー酵母）を使い造り始めたスタイル。
英国ペールエールのようにホップの苦味・香りが比較的しっかりしているが、欧州伝統ホップ（ノーブルホップ等）が多い。
最大の特徴はベルギー酵母由来の複雑な香り。フルーティーなエステル香（リンゴ、洋梨等）とスパイシーなフェノール香（クローブ、胡椒等）がホップ・麦芽風味と調和。
色は金色～明るい琥珀色。アルコール度数はペールエール同程度（4.8-5.5%）で、ベルギービールの中では比較的飲みやすい。デ・コーニンク等が代表的。",30,20,20世紀半ば、ベルギー,10,7,1,14,8,2
9,berliner-weisse,ベルリナーヴァイセ,3.8,2.8,2,1,2,ドイツ・ベルリン発祥の伝統的な酸味のある小麦ビール。非常に軽い口当たりと爽やかな酸味が特徴で、しばしばシロップを加えて飲まれます。アルコール度数が低く、さわやかな喉越しで暑い季節に最適なビールです。,"ドイツ首都ベルリン発祥の伝統的なサワー小麦ビール。「ベルリンの白」の意味です。
起源は17世紀頃とされ、ナポレオン軍が「北のシャンパン」と称賛した逸話があります。
乳酸菌と上面発酵酵母の混合発酵による、クリーンでシャープな酸味が最大の特徴。小麦麦芽由来の淡い色と濁り、高い炭酸ガス圧を持ちます。アルコール度数は低め（3%前後）で非常に軽快。
伝統的にはラズベリー（ヒンベーア）やウッドラフ（ヴァルトマイスター）の甘いシロップを加えて酸味を和らげて飲みます。
一時は絶滅寸前でしたが、近年のクラフトサワーブームで世界的に再注目されています。",8,3,17世紀頃、ドイツ・ベルリン,8,5,4,3,2,1
10,best-bitter,ベストビター,4.6,3.8,3,3,3,イギリスのパブで定番のビターエールの中間的な強さ。オーディナリービターより風味豊かで、ESBよりは軽い。バランスの取れた飲みやすさ。,"英伝統「ビター」の中で強さが中間のエール。「スペシャル/プレミアムビター」とも。
ビターは日常的セッションビールとして、オーディナリー(軽)・ベスト(中)・ESB(強)の3つに大別されるのが一般的。
ベストビターはオーディナリーより麦芽風味（ビスケット、軽カラメル等）やホップ特性（英ホップの土、花、果実香、苦味）がややしっかり感じられ、アルコールも少し高め（3.8-4.6%）。一方、ESB程の濃厚さや強苦味はなく、バランス重視で何パイントも飲める「セッショナビリティ」を保つ。
英国パブで最も一般的に提供されるドラフトビールの代表格の一つ。",40,25,20世紀初頭～半ば、イギリス,13,10,1,16,5,2
